지방청,해경서,발생일자,발생요일,사고유형_세분류,장소유형,발생지역,사고원인1차,위험구역지정
동해 지방청,속초,2020-08-08,일요일,수상레저익수,해안가,강원도,음주,없음
동해 지방청,포항,2020-08-09,월요일,수상레저익수,해안가,경상북도,부주의,없음
중부 지방청,보령,2020-08-09,월요일,추락익수,항포구,충청남도,부주의,연안사고 위험구역
남해 지방청,통영,2020-08-09,월요일,추락익수,해안가,경상남도,부주의,없음
서해 지방청,목포,2020-08-10,화요일,고립익수,해안가,전라남도,부주의,없음
동해 지방청,속초,2020-08-11,수요일,추락,테트라포드,강원도,음주,연안사고 다발구역
남해 지방청,통영,2020-08-11,수요일,추락익수,기타,경상남도,음주,없음
서해 지방청,여수,2020-08-11,수요일,추락익수,항포구,전라남도,부주의,연안사고 위험구역
제주 지방청,제주,2020-08-13,금요일,표류,해안가,제주특별자치도,부주의,없음
서해 지방청,여수,2020-08-13,금요일,추락익수,항포구,전라남도,부주의,없음
서해 지방청,부안,2020-08-14,토요일,고립,기타,전라북도,조석 미인지,사망사고 발생구역
중부 지방청,평택,2020-08-14,토요일,수상레저익수,해양,경기도,수영미숙,없음
동해 지방청,울진,2020-08-14,토요일,기타익수,해수욕장,경상북도,부주의,없음
동해 지방청,동해,2020-08-14,토요일,추락익수,항포구,경상북도,음주,없음
제주 지방청,서귀포,2020-08-14,토요일,수중레저익수,해안가,제주특별자치도,부주의,사망사고 발생구역
서해 지방청,목포,2020-08-14,토요일,기타,해안가,전라남도,부주의,없음
제주 지방청,제주,2020-08-14,토요일,고립,갯바위,제주특별자치도,안전미준수,없음
제주 지방청,제주,2020-08-15,일요일,기타익수,테트라포드,제주특별자치도,음주,사망사고 발생구역
서해 지방청,부안,2020-08-15,일요일,추락,해안가,전북,부주의,없음
서해 지방청,목포,2020-08-15,일요일,기타익수,해수욕장,전라남도,질병,없음
서해 지방청,군산,2020-08-16,월요일,기타익수,해양,군산시,부주의,없음
서해 지방청,부안,2020-08-16,월요일,고립,갯바위,전라북도,조석 미인지,없음
동해 지방청,동해,2020-08-16,월요일,기타익수,해수욕장,강원도,수영미숙,없음
제주 지방청,서귀포,2020-08-16,월요일,수상레저익수,해안가,제주특별자치도,부주의,없음
동해 지방청,속초,2020-08-16,월요일,수상레저익수,해안가,강원도,음주,없음
제주 지방청,서귀포,2020-08-16,월요일,기타익수,해안가,제주특별자치도,부주의,없음
서해 지방청,완도,2020-08-16,월요일,고립,갯바위,전라남도,부주의,없음
중부 지방청,인천,2020-08-17,화요일,기타익수,항포구,인천광역시,수영미숙,없음
남해 지방청,통영,2020-08-17,화요일,기타익수,테트라포드,경상남도,부주의,없음
중부 지방청,태안,2020-08-18,수요일,고립익수,해안가,충청남도,부주의,연안사고 위험구역
서해 지방청,부안,2020-08-18,수요일,고립,갯바위,전라북도,조석 미인지,사망사고 발생구역
서해 지방청,군산,2020-08-19,목요일,추락익수,항포구,전라북도,운전 부주의,사망사고 발생구역
남해 지방청,창원,2020-08-19,목요일,기타익수,해안가,경상남도,음주,사망사고 발생구역
동해 지방청,속초,2020-08-20,금요일,수상레저익수,해수욕장,강원도,부주의,없음
남해 지방청,부산,2020-08-20,금요일,추락익수,테트라포드,부산광역시,부주의,없음
남해 지방청,통영,2020-08-21,토요일,표류,해수욕장,경상남도,수영미숙,없음
동해 지방청,포항,2020-08-21,토요일,수상레저익수,해안가,경상북도,부주의,없음
서해 지방청,목포,2020-08-21,토요일,수상레저익수,해안가,전라남도,음주,연안사고 위험구역
중부 지방청,보령,2020-08-22,일요일,고립,갯벌,충청남도,부주의,없음
서해 지방청,목포,2020-08-22,일요일,추락,항포구,전남,부주의,없음
중부 지방청,인천,2020-08-22,일요일,고립,갯바위,인천광역시,낚시,없음
중부 지방청,태안,2020-08-22,일요일,표류,해양,충청남도,부주의,없음
남해 지방청,창원,2020-08-22,일요일,기타익수,무인도서,경상남도,부주의,사망사고 발생구역
남해 지방청,부산,2020-08-23,월요일,기타익수,항포구,부산광역시,부주의,없음
중부 지방청,보령,2020-08-23,월요일,고립,해안가,충청남도,부주의,없음
중부 지방청,태안,2020-08-23,월요일,표류,해양,충청남도,수영미숙,사망사고 발생구역
중부 지방청,인천,2020-08-23,월요일,고립,갯벌,인천광역시,부주의,없음
제주 지방청,제주,2020-08-25,수요일,수상레저익수,해양,제주특별자치도,부주의,연안사고 위험구역
서해 지방청,목포,2020-08-25,수요일,수상레저익수,해안가,전라남도,안전미준수,없음
서해 지방청,목포,2020-08-27,금요일,기타익수,항포구,전라남도,수영미숙,없음
서해 지방청,완도,2020-08-29,일요일,추락익수,항포구,전라남도,음주,없음
제주 지방청,서귀포,2020-08-29,일요일,기타익수,해수욕장,제주도,부주의,사망사고 발생구역
남해 지방청,통영,2020-08-29,일요일,기타익수,항포구,경상남도,음주,없음
서해 지방청,완도,2020-08-29,일요일,표류,해양,전라남도,부주의,없음
제주 지방청,제주,2020-08-29,일요일,표류,해수욕장,제주특별자치도,부주의,연안사고 다발구역
중부 지방청,태안,2020-08-29,일요일,고립,갯벌,충청남도,조석 미인지,없음
서해 지방청,여수,2020-08-30,월요일,추락익수,항포구,전라남도,운전 부주의,없음
중부 지방청,인천,2020-08-31,화요일,고립익수,갯벌,인천,부주의,사망사고 발생구역
중부 지방청,태안,2020-08-31,화요일,고립,갯바위,충청남도,낚시,연안사고 다발구역
동해 지방청,속초,2020-09-01,수요일,수상레저익수,해안가,강원도,부주의,없음
남해 지방청,통영,2020-09-03,금요일,기타익수,항포구,경남,음주,사망사고 발생구역
제주 지방청,제주,2020-09-03,금요일,추락,테트라포드,제주특별자치도,부주의,없음
남해 지방청,창원,2020-09-04,토요일,수상레저익수,무인도서,경상남도,수영미숙,사망사고 발생구역
중부 지방청,인천,2020-09-04,토요일,고립,갯바위,인천광역시,부주의,연안사고 다발구역
남해 지방청,창원,2020-09-05,일요일,수상레저익수,항포구,경상남도,음주,없음
남해 지방청,부산,2020-09-05,일요일,추락익수,해안가,부산,낚시,없음
중부 지방청,태안,2020-09-06,월요일,고립익수,해안가,충청남도,조석 미인지,없음
제주 지방청,서귀포,2020-09-06,월요일,고립,갯바위,제주특별자치도,조석 미인지,사망사고 발생구역
중부 지방청,평택,2020-09-06,월요일,추락익수,항포구,경기도,부주의,연안사고 위험구역
남해 지방청,통영,2020-09-06,월요일,기타익수,항포구,경상남도,부주의,없음
서해 지방청,완도,2020-09-06,월요일,추락익수,항포구,전라남도,부주의,없음
남해 지방청,통영,2020-09-07,화요일,추락익수,항포구,경상남도,부주의,연안사고 다발구역
제주 지방청,서귀포,2020-09-07,화요일,기타익수,해수욕장,제주특별자치도,안전미준수,사망사고 발생구역
남해 지방청,부산,2020-09-09,목요일,추락익수,항포구,부산광역시,음주,없음
동해 지방청,동해,2020-09-10,금요일,수상레저익수,해안가,경상북도,질병,없음
중부 지방청,평택,2020-09-10,금요일,고립,갯바위,충청남도,부주의,연안사고 다발구역
남해 지방청,부산,2020-09-11,토요일,추락익수,항포구,부산광역시,부주의,없음
중부 지방청,태안,2020-09-12,일요일,표류,해양,충청남도,부주의,연안사고 다발구역
중부 지방청,태안,2020-09-12,일요일,추락,해안가,충청남도,음주,사망사고 발생구역
남해 지방청,통영,2020-09-13,월요일,수상레저익수,해안가,경상남도,수영미숙,없음
중부 지방청,태안,2020-09-13,월요일,추락,항포구,충청남도,부주의,없음
제주 지방청,서귀포,2020-09-13,월요일,수상레저익수,해안가,제주특별자치도,부주의,없음
중부 지방청,인천,2020-09-14,화요일,고립,무인도서,인천광역시,조석 미인지,연안사고 위험구역
서해 지방청,여수,2020-09-15,수요일,추락익수,해안가,전라남도,운전 부주의,없음
